title,description,status,due_date,start_date,priority,progress,completed_date,category,hours,assigned_to,created_by,created_at,updated_at,tags,location,project,phase,parent_task
Perform Field Tests,Conduct field tests to evaluate the robot's performance.,open,2024-05-25,2024-05-16,high,0,,,12,,admin,2024-05-16,2024-05-16,testing,field,GUIDE,Testing and Calibration,
Analyze Field Test Data,Analyze data from field tests to identify performance issues and areas for improvement.,open,2024-05-30,2024-05-26,high,0,,,8,,admin,2024-05-26,2024-05-26,analysis,office,GUIDE,Testing and Calibration,
Implement Improvements,Make necessary improvements based on field test data.,open,2024-05-31,2024-05-27,high,0,,,10,,admin,2024-05-27,2024-05-27,improvement,lab,GUIDE,Testing and Calibration,
Document Project,Document the entire project including design decisions, test results, and lessons learned.,open,2024-05-30,2024-05-16,medium,0,,,10,,admin,2024-05-16,2024-05-16,documentation,office,GUIDE,Documentation and Final Review,
Create User Manual,Develop a detailed user manual for GUIDE, covering setup, operation, and troubleshooting.,open,2024-05-25,2024-05-17,medium,0,,,8,,admin,2024-05-17,2024-05-17,documentation,office,GUIDE,Documentation and Final Review,
Prepare Final Presentation,Prepare a presentation summarizing the project, its outcomes, and future work.,open,2024-05-30,2024-05-26,medium,0,,,6,,admin,2024-05-26,2024-05-26,presentation,office,GUIDE,Documentation and Final Review,
Conduct Final Review,Review the project and prepare for the final presentation.,open,2024-05-31,2024-05-26,medium,0,,,5,,admin,2024-05-26,2024-05-26,review,office,GUIDE,Documentation and Final Review,


title,description,status,due_date,start_date,priority,progress,completed_date,category,hours,assigned_to,created_by,created_at,updated_at,tags,location,project,phase,parent_task
Conduct Market Research,Research existing quadrupedal robots and identify unique features and improvements.,open,2023-10-10,2023-10-01,high,0,,,8,,admin,2023-10-01,2023-10-01,research,office,GUIDE,Initial Planning and Research,
Define Project Requirements,Outline the technical and functional requirements for GUIDE.,open,2023-10-15,2023-10-05,high,0,,,6,,admin,2023-10-01,2023-10-01,planning,office,GUIDE,Initial Planning and Research,
Create Project Timeline,Develop a detailed timeline for the project with milestones.,open,2023-10-15,2023-10-07,high,0,,,4,,admin,2023-10-01,2023-10-01,planning,office,GUIDE,Initial Planning and Research,
Design QDD Actuators,Create detailed designs for the custom QDD actuators.,open,2023-10-25,2023-10-16,high,0,,,10,,admin,2023-10-16,2023-10-16,design,lab,GUIDE,QDD Actuators,
Prototype QDD Actuators,Build and test prototypes of the QDD actuators.,open,2023-11-10,2023-10-26,high,0,,,15,,admin,2023-10-26,2023-10-26,prototype,lab,GUIDE,QDD Actuators,
Test QDD Actuators,Conduct performance tests on the QDD actuators.,open,2023-11-15,2023-11-11,high,0,,,8,,admin,2023-11-11,2023-11-11,testing,lab,GUIDE,QDD Actuators,
Design First Leg,Create the initial design for the robot's first leg.,open,2023-11-25,2023-11-16,high,0,,,10,,admin,2023-11-16,2023-11-16,design,lab,GUIDE,First Leg Design and Testing,
3D Print Leg Components,3D print the components for the first leg.,open,2023-12-01,2023-11-26,high,0,,,12,,admin,2023-11-26,2023-11-26,printing,lab,GUIDE,First Leg Design and Testing,
Assemble First Leg,Assemble the first leg using the printed components and QDD actuators.,open,2023-12-05,2023-12-02,high,0,,,8,,admin,2023-12-02,2023-12-02,assembly,lab,GUIDE,First Leg Design and Testing,
Test First Leg,Conduct performance tests on the first leg.,open,2023-12-15,2023-12-06,high,0,,,10,,admin,2023-12-06,2023-12-06,testing,lab,GUIDE,First Leg Design and Testing,
Review and Refine Leg Design,Review test results and refine the leg design if necessary.,open,2023-12-15,2023-12-10,high,0,,,6,,admin,2023-12-10,2023-12-10,review,lab,GUIDE,First Leg Design and Testing,
3D Print Remaining Leg Components,3D print the components for the remaining three legs.,open,2024-01-05,2023-12-16,high,0,,,24,,admin,2023-12-16,2023-12-16,printing,lab,GUIDE,Build Remaining Legs,
Assemble Remaining Legs,Assemble the remaining three legs using the printed components and QDD actuators.,open,2024-01-15,2024-01-06,high,0,,,20,,admin,2024-01-06,2024-01-06,assembly,lab,GUIDE,Build Remaining Legs,
Assemble Frame,Assemble the carbon fiber frame for the robot.,open,2024-01-25,2024-01-16,high,0,,,8,,admin,2024-01-16,2024-01-16,assembly,lab,GUIDE,Full Robot Build,
Install Electronics,Install and wire the electronics including the ODrive controller and Teensy microcontroller.,open,2024-02-05,2024-01-26,high,0,,,10,,admin,2024-01-26,2024-01-26,electronics,lab,GUIDE,Full Robot Build,
Integrate Legs,Attach the legs to the frame and connect to the electronics.,open,2024-02-15,2024-02-06,high,0,,,12,,admin,2024-02-06,2024-02-06,assembly,lab,GUIDE,Full Robot Build,
Develop SLAM Algorithm,Develop and implement the SLAM algorithm for navigation.,open,2024-03-05,2024-02-16,high,0,,,15,,admin,2024-02-16,2024-02-16,algorithm,office,GUIDE,SLAM Integration,
Test SLAM,Test the SLAM capabilities in various environments.,open,2024-03-15,2024-03-06,high,0,,,10,,admin,2024-03-06,2024-03-06,testing,field,GUIDE,SLAM Integration,
Develop Vision CNN,Develop and train a convolutional neural network for visual perception.,open,2024-03-25,2024-03-16,high,0,,,20,,admin,2024-03-16,2024-03-16,ai,office,GUIDE,AI Development,
Integrate Vision CNN,Integrate the trained vision CNN into the robot's system.,open,2024-04-05,2024-03-26,high,0,,,10,,admin,2024-03-26,2024-03-26,integration,lab,GUIDE,AI Development,
Develop Generative AI,Develop and train a generative AI model for interaction.,open,2024-04-15,2024-04-06,high,0,,,20,,admin,2024-04-06,2024-04-06,ai,office,GUIDE,AI Development,
Integrate Generative AI,Integrate the generative AI model into the robot's system for interaction.,open,2024-04-25,2024-04-16,high,0,,,10,,admin,2024-04-16,2024-04-16,integration,lab,GUIDE,AI Development,
Optimize Onboard AI,Optimize the onboard AI for decision-making using GPU.,open,2024-05-05,2024-04-26,high,0,,,15,,admin,2024-04-26,2024-04-26,optimization,lab,GUIDE,AI Development,
Calibrate Sensors,Calibrate all sensors for accurate data collection.,open,2024-05-15,2024-05-06,high,0,,,8,,admin,2024-05-06,2024-05-06,calibration,lab,GUIDE,Testing and Calibration,
Perform Field Tests,Conduct field tests to evaluate the robot's performance.,open,2024-05-25,2024-05-16,high,0,,,12,,admin,2024-05-16,2024-05-16,testing,field,GUIDE,Testing and Calibration,
Analyze Field Test Data,Analyze data from field tests to identify performance issues and areas for improvement.,open,2024-05-30,2024-05-26,high,0,,,8,,admin,2024-05-26,2024-05-26,analysis,office,GUIDE,Testing and Calibration,
Implement Improvements,Make necessary improvements based on field test data.,open,2024-05-31,2024-05-27,high,0,,,10,,admin,2024-05-27,2024-05-27,improvement,lab,GUIDE,Testing and Calibration,
Document Project,Document the entire project including design decisions, test results, and lessons learned.,open,2024-05-30,2024-05-16,medium,0,,,10,,admin,2024-05-16,2024-05-16,documentation,office,GUIDE,Documentation and Final Review,
Create User Manual,Develop a detailed user manual for GUIDE, covering setup, operation, and troubleshooting.,open,2024-05-25,2024-05-17,medium,0,,,8,,admin,2024-05-17,2024-05-17,documentation,office,GUIDE,Documentation and Final Review,
Prepare Final Presentation,Prepare a presentation summarizing the project, its outcomes, and future work.,open,2024-05-30,2024-05-26,medium,0,,,6,,admin,2024-05-26,2024-05-26,presentation,office,GUIDE,Documentation and Final Review,
Conduct Final Review,Review the project and prepare for the final presentation.,open,2024-05-31,2024-05-26,medium,0,,,5,,admin,2024-05-26,2024-05-26,review,office,GUIDE,Documentation and Final Review,